Site Name,Plot #,Crop,Treatment,Date Soil Sample Collected,NO3 Analysis,NO3,pH,Notes,SRadiation,Prec,WD,WS,AT,RH ,WC,ST,mRH,Lat,Lon
LP Mineral,1,Switchgrass,Control,4/15/2121,4/16/2021,0.518,4.28,"sandstone, coal small pebbles, limited roots and leaves",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97972324,39.53026758
LP Mineral,2,Switchgrass,BioChar + Fertilizer,4/15/2121,4/16/2021,0.507,4.4,"sandstone, coal small pebbles, limited roots and leaves",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97968203,39.5304303
LP Mineral,3,Switchgrass,Fertilizer,4/15/2121,4/16/2021,0.537,4,"sandstone, coal small pebbles, limited roots and leaves",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97986819,39.53027848
LP Mineral,4,Willow,Control,4/15/2121,4/16/2021,0.5305,4.21,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97922728,39.53008699
LP Mineral,5,Willow,BioChar + Fertilizer,4/15/2121,4/16/2021,0.4595,4.09,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97948248,39.53011217
LP Mineral,6,Willow,Fertilizer,4/15/2121,4/16/2021,0.5015,3.69,"sandstone, limestone, coal (?) small gravel,heavy clumps hard to break up",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97978734,39.53032104
LP Mineral,19,Switchgrass,Control,4/15/2121,4/16/2021,0.4805,4.29,"sandstone, coal small pebbles, limited roots and leaves",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97964285,39.53014484
LP Mineral,20,Switchgrass,Fertilizer,4/15/2121,4/16/2021,0.501,4.18,"sandstone, coal small pebbles, limited roots and leaves",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.9797663,39.53059669
LP Mineral,21,Switchgrass,BioChar + Fertilizer,4/15/2121,4/16/2021,0.507,4.33,"sandstone, coal small pebbles, limited roots and leaves",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97968191,39.53013502
LP Mineral,22,Willow,BioChar + Fertilizer,4/15/2121,4/16/2021,0.5,5.26,"sandstone, coal large gravel ,heavy clumps hard to break up, some grass and roots",77.1,0,137,1.07,7.9,0.719,0.41,11.8,0.719,-79.97883552,39.52989658
